# bit length of a rule in each field is 32; w = 32+32 = 64
#
# memory(kB) to construct
100 3308.8
200 124013
300 269422
400 366666
500 565504
600 809686
700 1072090
800 1374050
900 1757270
1000 2123570
1100 2508830
1200 2968450
1300 3517950
1400 4045470
1500 4583020
1600 5155190
1700 5829510
1800 6395110
1900 7160756
2000 7861630
